binPid,n_hits,mlAnalyzed,lon,lat,conc_per_ml
D20241108T222150_IFCB127,10,1.036,-70.5667,41.325,9.652509652509652
D20241108T223246_IFCB193,1,3.54,-52.001246,45.45911433,0.2824858757062147
D20241109T075913_IFCB125,1,4.339,-69.957882,43.792114,0.23046784973496195
D20241109T122947_IFCB127,4,1.597,-70.5667,41.325,2.504696305572949
D20241109T141508_IFCB127,4,1.639,-70.5667,41.325,2.4405125076266017
D20241110T081448_IFCB127,4,2.179,-70.5667,41.325,1.8357044515832952
D20241110T091315_IFCB193,3,3.895,-55.157092,46.617663,0.7702182284980744
D20241110T093725_IFCB193,1,3.987,-55.22246267,46.6360365,0.2508151492350138
D20241110T172739_IFCB127,2,2.16,-70.5667,41.325,0.9259259259259258
D20241110T225119_IFCB193,5,2.788,-56.63746767,46.09581033,1.793400286944046
D20241111T063020_IFCB193,1,3.235,-57.34307617,45.63682633,0.3091190108191654
D20241111T112715_IFCB127,2,1.26,-70.5667,41.325,1.5873015873015872
D20241111T125333_IFCB193,2,2.752,-57.10389383,45.79383667,0.7267441860465117
D20241112T025432_IFCB127,7,0.615,-70.5667,41.325,11.382113821138212
D20241112T065127_IFCB127,8,1.215,-70.5667,41.325,6.584362139917695
D20241112T100105_IFCB127,6,0.656,-70.5667,41.325,9.146341463414634
D20241112T120002_IFCB125,1,4.261,-69.957882,43.792114,0.2346866932644919
D20241112T174715_IFCB193,7,3.192,-52.72807883,44.55133,2.1929824561403506
D20241112T183534_IFCB193,1,3.106,-52.55908933,44.50248583,0.32195750160978753
D20241112T212440_IFCB193,1,3.202,-51.9662385,44.33096733,0.3123048094940662
D20241113T044302_IFCB127,4,0.974,-70.5667,41.325,4.106776180698152
D20241113T044932_IFCB125,1,4.256,-69.957882,43.792114,0.2349624060150376
D20241113T083450_IFCB127,5,1.183,-70.5667,41.325,4.22654268808115
D20241113T123920_IFCB193,5,3.142,-50.07216733,43.08290133,1.591343093570974
D20241113T210640_IFCB193,13,3.421,-49.8450475,42.76393267,3.800058462437884
D20241114T031644_IFCB127,1,1.174,-70.5667,41.325,0.8517887563884157
D20241114T050631_IFCB193,27,3.395,-49.66892617,42.56768967,7.952871870397644
D20241114T171238_IFCB125,5,4.346,-69.957882,43.792114,1.150483202945237
D20241115T013516_IFCB193,4,4.164,-48.9175715,41.695116,0.9606147934678195
D20241115T033238_IFCB125,9,4.208,-69.957882,43.792114,2.138783269961977
D20241115T065004_IFCB127,2,1.456,-70.5667,41.325,1.3736263736263736
D20241115T071329_IFCB193,8,4.273,-48.72943483,41.34714,1.8722209220688042
D20241115T102046_IFCB127,3,1.553,-70.5667,41.325,1.9317450096587252
D20241115T120323_IFCB193,1,4.15,-48.6705755,41.33609567,0.24096385542168672
D20241115T171209_IFCB125,3,4.23,-69.957882,43.792114,0.7092198581560283
D20241115T211358_IFCB127,3,1.56,-70.5667,41.325,1.923076923076923
D20241116T112132_IFCB127,7,1.589,-70.5667,41.325,4.405286343612335
